objid,ra,dec,length_avg,length_stdev,width_avg,width_stdev,length_scaled,bar_meas
587722981747982465,198.05199,-1.0951362,5.841887,0.32031392,2.3284724,0.95103847,0.46110882,3
587722981752438860,208.22692,-1.1146164,3.240697,0.74189323,0.60321635,0.19786181,0.33958448,4
587722982286426253,201.59344,-0.81657638,5.1710535,0.60652047,1.4347276,0.11780876,0.40678327,3
587722982290686153,211.35525,-0.81134372,10.311853,2.3528068,3.4830708,1.9549095,0.42814525,4
587722982292521047,215.52468,-0.66928292,11.513937,3.1332548,2.4970712,1.0213344,0.43900814,4
587722982297698726,227.44005,-0.75419743,11.045412,1.3827998,3.0857919,2.3646526,0.38563508,4
587722982299402394,231.34866,-0.70996443,11.771382,0.33809153,2.4884787,0.76670991,0.51823614,5
587722982815760526,184.46848,-0.36212063,9.0878621,1.5993672,1.4519552,0.18241423,0.52973887,4
587722982822379684,199.49823,-0.29533663,7.3381616,0.48576476,1.621484,1.173844,0.35775623,3
587722982827622551,211.50594,-0.31055397,4.4364497,0.4411895,1.3371159,0.55746218,0.2438721,4
587722982832668754,223.04597,-0.25610106,7.3128316,1.65673,1.9284258,0.77295309,0.29858026,3
587722983353810983,187.11303,0.14240517,3.2059531,1.2246808,1.441776,0.4082251,0.2368361,3
587722983363248237,208.68605,0.11512119,8.758743,0.38225352,1.6864014,0.33839039,0.39969576,4
587722983365738669,214.34239,0.02369384,15.036582,1.0808684,4.4913938,0.95710644,0.49550221,3
587722983367704721,218.91699,0.20493912,6.3180877,0.77798531,1.1766282,0.45211134,0.48559025,3
587722983370981660,226.29779,0.11729289,7.7139662,2.1344167,2.0981906,0.77417499,0.41464316,4
587722983372292306,229.36385,0.11940809,4.764938,0.68704197,1.2264839,0.49257782,0.28047871,3
587722983372423652,229.70829,0.01094875,6.5821576,0.93158206,2.3507546,1.1274889,0.40480083,5
587722983373799833,232.8219,0.12652607,5.6525446,1.3698105,1.2183284,0.440987,0.41067709,5
587722983374913992,235.39148,0.18050738,8.3792938,3.6160291,2.5133772,1.815649,0.36575045,6
587722983899856931,208.06235,0.59475309,10.614207,1.3961387,3.004354,1.1731225,0.60964267,4
587722983901888787,212.79369,0.57878925,18.317577,0.76818576,3.924386,1.5465391,0.51946866,5
587722983902544078,214.25699,0.47706888,10.717546,2.6562789,2.0483421,0.98478056,0.35709013,4
587722983907786781,226.16757,0.60451718,7.5221033,0.64806711,1.9861639,0.43914315,0.38067926,3
587722984432009290,197.38287,0.85702807,9.6953785,0.80041892,2.0396768,0.59093439,0.38538438,6
587722984438956257,213.24686,0.92118465,12.448433,1.7071947,6.1771516,2.2407329,0.82064386,3
587722984440529128,216.83485,1.0258641,15.372617,2.5337599,3.4911532,1.176578,0.49857804,3
587724648188543033,192.05688,-3.3328447,4.7747684,1.0470675,0.80198992,0.032623301,0.73879219,3
587724648725610658,192.43613,-2.9740251,15.221548,3.0452364,2.5082959,1.2450589,0.43442606,5
587724649254223913,173.59719,-2.529326,12.366475,1.5797817,3.5244059,1.6074806,0.43124963,5
587724649266020472,200.60887,-2.4182748,8.991096,1.8806367,2.2716848,0.53880445,0.48300027,5
587724649790898308,173.18033,-2.199712,6.6012391,0.7587931,2.9877665,0.59154939,0.45055621,3
587724649792471246,176.79512,-2.1740999,14.988235,3.0222136,2.8879188,0.66422731,0.86023925,4
587724649793716397,179.64011,-2.1356675,8.5021414,0.66301509,2.6449711,0.85368776,0.5801008,5
587724649799942282,193.79333,-2.1611386,12.978214,2.3177845,4.6438226,1.7603549,0.45564676,5
587724650335568060,190.98523,-1.7699291,8.3581369,2.5492028,2.2912797,0.67782323,0.53396288,6
587724650867261636,179.18978,-1.2933409,4.4970546,0.95412986,0.74753327,0.097253296,0.36211948,5
587725039025389708,196.45637,-3.6403706,6.8796053,1.5417771,2.0942372,1.1951973,0.36942498,5
587725039555575968,181.23201,-3.1995151,8.4019843,0.87698762,1.7789456,0.61509148,0.62645153,3
587725039556493362,183.33186,-3.1794198,10.351793,1.5596485,2.7972771,1.0388093,0.43056449,5
587725039563440143,199.20908,-3.0627254,10.489985,1.4167142,1.9008697,0.91255234,0.38113673,5
587725040092250278,180.79454,-2.8760028,10.53071,2.6273547,5.1543894,0.71848596,0.3678595,4
587725040092446735,181.19669,-2.7200784,11.568739,1.4302628,2.9780457,1.0051471,0.58869984,4
587725041161994328,171.60781,-1.8780013,9.639708,1.3264926,2.1933557,0.46479175,0.44694757,5
587725041699717144,173.53881,-1.5951185,5.5789987,0.53582193,1.3125362,0.39065429,0.40155862,5
587725041706991800,190.29483,-1.5905471,4.425514,0.51273116,0.77161481,0.41762568,0.45253412,4
587725073916821776,135.80276,-0.75293044,13.314438,2.0645244,3.3544301,1.016682,0.47755537,4
587725073918132295,138.77629,-0.71839662,11.025642,2.8175013,2.7301468,1.2726658,0.24706535,4
587725074457428048,144.37036,-0.28941454,9.2501048,2.3553883,3.5071349,2.0658833,0.57914841,3
587725074990039204,134.61914,0.02347054,7.449393,1.0257908,1.7229447,0.36935776,0.55549843,4
