# DR7OBJID,RA,DEC,REDSHIFT,OIII_EW,L_FUV,L_FUV_ERR,SFR,SFR_ERR,METALLICITY,METALLICITY_ERR_UPPER,METALLICITY_ERR_LOWER,M_STELLAR
587725073921409255 ,  146.242618 ,   -0.762639 ,  0.3002 ,   312.8 ,    1.04    ,    0.21     ,   12.45   ,   0.52 ,    8.78    , 8.85    ,    8.71   ,    9.76  
588848899919446344 ,  195.546460 ,   -0.087897 ,  0.2255 ,   834.4 ,    0.19    ,    0.04     ,    4.47   ,   0.22 ,    8.75    , 8.87    ,    8.59   ,    9.07  
587725576962244831 ,  261.776373 ,   59.817273 ,  0.3472 ,   651.5 ,            ,             ,   24.98   ,   1.48 ,    8.71    , 8.79    ,    8.61   ,    9.81  
587731187273892048 ,  351.413453 ,    0.752012 ,  0.2770 ,   319.6 ,    0.99    ,    0.06     ,   11.11   ,   0.85 ,    8.70    , 8.79    ,    8.59   ,    9.38  
587731513693503653 ,   50.687082 ,    0.745111 ,  0.3043 ,   282.1 ,    1.09    ,    0.27     ,   14.22   ,   0.80 ,    8.83    , 8.87    ,    8.79   ,    9.89  
587724233716596882 ,   22.292299 ,   14.992956 ,  0.2800 ,   354.0 ,    1.53    ,    0.21     ,   13.37   ,   0.72 ,    8.77    , 8.83    ,    8.71   ,    9.46  
587727179006148758 ,   45.839226 ,   -7.989791 ,  0.1650 ,   886.0 ,            ,             ,    8.72   ,   0.64 ,    8.71    , 8.79    ,    8.61   ,    8.75  
587724241767825591 ,   51.556792 ,   -6.586816 ,  0.1621 ,   822.9 ,            ,             ,   11.44   ,   0.41 ,    8.76    , 8.80    ,    8.72   ,    9.48  
587724240158589061 ,   54.949128 ,   -7.428132 ,  0.2608 ,   397.6 ,    2.00    ,    0.14     ,   28.96   ,   1.68 ,    8.78    , 8.84    ,    8.72   ,    9.74  
587726032778559604 ,  164.319700 ,    2.535293 ,  0.3028 ,   348.5 ,    1.35    ,    0.14     ,    8.75   ,   0.57 ,    8.76    , 8.86    ,    8.64   ,    9.90  
587726032253419628 ,  191.097382 ,    2.261231 ,  0.2395 ,  1151.4 ,            ,             ,   25.24   ,   1.30 ,    8.70    , 8.76    ,    8.63   ,    9.44  
588010360138367359 ,  130.570630 ,    3.635203 ,  0.2194 ,   567.5 ,            ,             ,    6.60   ,   0.21 ,    8.55    , 8.66    ,    8.40   ,    9.71  
587726102030451047 ,  236.787938 ,    3.603914 ,  0.2314 ,   891.8 ,            ,             ,    9.83   ,   0.61 ,    8.74    , 8.81    ,    8.64   ,    8.96  
587729155743875234 ,  173.265848 ,   65.228162 ,  0.2414 ,   475.2 ,    1.61    ,    0.18     ,    5.43   ,   0.24 ,    8.66    , 8.83    ,    8.42   ,   10.05  
587728919520608387 ,  212.938906 ,   62.653138 ,  0.2301 ,   529.0 ,    1.45    ,    0.16     ,   12.80   ,   0.47 ,    8.67    , 8.75    ,    8.59   ,   10.18  
587729229297090692 ,  234.405309 ,   58.794575 ,  0.2143 ,   851.6 ,    0.44    ,    0.06     ,    6.32   ,   0.20 ,    8.58    , 8.71    ,    8.42   ,    9.27  
587725818034913419 ,  235.209139 ,   57.411652 ,  0.2944 ,   173.3 ,    3.50    ,    0.24     ,   16.81   ,   1.18 ,    8.91    , 8.92    ,    8.89   ,   10.31  
587730774416883967 ,  339.396081 ,   13.613062 ,  0.2936 ,   438.3 ,            ,             ,   24.78   ,   0.86 ,    8.55    , 8.68    ,    8.37   ,   10.10  
587730774965354630 ,    6.716985 ,   15.460460 ,  0.2136 ,   754.2 ,            ,             ,    3.32   ,   0.21 ,    8.81    , 8.89    ,    8.73   ,    9.58  
587728906099687546 ,  117.403215 ,   33.621219 ,  0.2733 ,   339.2 ,    2.04    ,    0.26     ,   58.83   ,   2.61 ,    8.79    , 8.81    ,    8.77   ,    9.85  
587725550133444775 ,  156.563375 ,   63.552363 ,  0.3338 ,   933.3 ,    1.27    ,    0.28     ,    3.76   ,   0.28 ,            ,         ,           ,    9.05 
588009371762098262 ,  170.582224 ,   61.912629 ,  0.2045 ,   960.7 ,    0.40    ,    0.07     ,    5.59   ,   0.23 ,    8.70    , 8.83    ,    8.53   ,    8.71  
588011122502336742 ,  181.772142 ,   61.586621 ,  0.2620 ,   760.2 ,    0.68    ,    0.13     ,   13.02   ,   0.62 ,            ,         ,           ,    9.85 
588011103712706632 ,  226.616617 ,   56.450741 ,  0.2786 ,   341.9 ,    1.08    ,    0.17     ,   23.88   ,   0.93 ,    8.90    , 8.92    ,    8.88   ,    9.75  
588013384341913605 ,  141.501678 ,   44.460044 ,  0.1807 ,   651.5 ,    1.55    ,    0.11     ,   14.35   ,   0.89 ,    8.62    , 8.73    ,    8.48   ,    9.08  
587732134315425958 ,  195.368010 ,   51.080893 ,  0.3479 ,   554.4 ,    3.20    ,    0.26     ,   23.17   ,   1.74 ,    8.63    , 8.82    ,    8.34   ,    9.53  
587729777439801619 ,  204.299529 ,   -2.434842 ,  0.2737 ,   399.2 ,            ,             ,    8.63   ,   0.35 ,    8.76    , 8.85    ,    8.64   ,    9.94  
587729777446945029 ,  220.630713 ,   -2.164466 ,  0.2938 ,  1456.6 ,    1.61    ,    0.19     ,   20.22   ,   0.80 ,    8.57    , 8.80    ,    8.14   ,    8.80  
587732152555864324 ,  116.991682 ,   23.609113 ,  0.1552 ,   874.9 ,            ,             ,    3.26   ,   0.07 ,            ,         ,           ,    9.40 
587732578845786234 ,  157.912214 ,    7.265701 ,  0.2525 ,   763.9 ,    0.57    ,    0.18     ,    6.04   ,   0.20 ,    8.52    , 8.64    ,    8.38   ,    9.02  
