ID	SDSSID	PRI_RA_DEG	PRI_DEC_DEG	PRI_NAMES	SEC_RA_DEG	SEC_DEC_DEG	SEC_NAMES
1	587722984435351614	204.97033333333334	0.8398444444444445	587722984435351614, Arp240, NGC5257, UGC8641, 13395227+0050224 	204.99020833333333	0.8306666666666668	588848900997382148, Arp240, NGC5258, UGC8641, 13395767+0049514 
2	587724234257137777	30.95716666666667	14.738644444444445	587724234257137777, Arp290, IC196, UGC1556, 02034980+1444204 	30.937291666666667	14.709055555555556	587724234257137746, Arp290, IC195, UGC1555, 02034457+1442334 
3	587726033843585146	144.43333333333334	2.760163888888889	587726033843585146, Arp142, NGC2936, UGC5130, 09374413+0245394 	144.43787500000002	2.7468861111111114	587726033843585145, Arp142, NGC2937, UGC5130, 09374506+0244504 
4	587727177926508595	32.352333333333334	-10.136005555555556	587727177926508587, Arp318, NGC835, 02092458-1008091 	32.337291666666665	-10.133158333333334	587727177926508588, Arp318, NGC833, 02092086-1007591 
5	587727178988388373	4.708583333333333	-10.361625	587727178988388658, Arp256, 00185015-1021414 	4.711833333333334	-10.37695	587727178988388652, Arp256, 00185089-1022364 
6	587727222471131318	322.247278321772	11.3819691919192	587727222471131320, UGC11751, 21285942+1122574 	322.2427587	11.36650271	587727222471131318, UGC11751, 21285827+1121594 
7	587728676861051075	203.04275	62.76733611111111	587728676861051075, Arp104, NGC5218, UGC8529, 13321042+6246039 	203.03983333333335	62.70015	587728676861050955, NGC5216, UGC8528, 13320682+6242029 
8	587729227151704160	238.28595833333333	54.14735	587729227151704160, 15530935+5408557 	238.28704166666668	54.14896111111111	587729227151704161, 15530935+5408557 
9	587731913110650988	141.01241666666667	49.20393888888889	587731913110650983, Arp285, NGC2854, UGC4995, 09240315+4912156 	141.03525	49.2486	587731913110716661, NGC2856, UGC4997, 09241600+4914567 
10	587732136993882121	173.1475	53.06667	587732136993882121, Arp214, NGC3718, UGC6524, 11323494+5304041 	173.456624	53.125675	587732136993947666, NGC3729, UGC6547, 11334932+5307317 
11	587732772130652231	185.74029166666668	10.547975	587732772130652231, NGC4320, UGC7452, 12225772+1032540 	185.74116666666666	10.549155555555556	587732772130652233, NGC4320, UGC7452, 12225772+1032540 
12	587733080814583863	190.95583333333335	54.904561111111114	587733080814583863, NGC4669, UGC7905, 12434940+5454181 	190.953875	54.89616111111111	587733080814583881, NGC4669, UGC7905, 12434789+5453461 
13	587734862680752822	148.286790551545	7.86616717171717	587734862680752243, Arp255, UGC5304, 09530884+0751577 	148.293254894902	7.87348232323232	587734862680752244, Arp255, UGC5304, 09531038+0752247 
14	587735043609329845	122.80625	25.206611111111112	587735043609329845, Arp82, NGC2535, UGC4264, 08111348+2512249 	122.81466666666667	25.178858333333334	587735043609329866, Arp82, NGC2536, UGC4264, 08111591+2510459 
15	587735665840881790	205.41387500000002	55.67073055555556	587735665840881790, Arp239, NGC5278, UGC8677, 13413961+5540146 	205.41916666666668	55.67385	587735665840881787, Arp239, NGC5278, UGC8677, 13413961+5540146 
16	587736941981466667	214.26054166666668	36.57129444444445	587736941981466667, Arp199, NGC5544, UGC9142, 14170522+3634308 	214.26775	36.575297222222225	587736941981466675, Arp199, NGC5545, UGC9142, 14170522+3634308 
17	587738569246376675	199.197567444494	14.4276911616162	587738569246441506, Arp57, 13164737+1425399 	199.215801633652	14.4169073232323	587738569246441639, Arp57, 13165177+1424549 
18	587738569249390718	206.209975800495	13.9213815656566	587738569249390719, 13445034+1355178 	206.212482828575	13.927620959596	587738569249390718, 13445096+1355398 
19	587739153356095531	125.89175	21.347327777777778	587739153356095530, Arp247, IC2339, UGC4383, 08233424+2120514 	125.88600000000001	21.338091666666667	587739153356095531, Arp247, IC2338, UGC4383, 08233267+2120174 
20	587739407868690486	219.460375	30.483197222222223	587739407868690483, Arp241, NGC5699, UGC9425, 14375117+3028472 	219.462625	30.479775	587739407868690484, Arp241, NGC5699, UGC9425, 14375117+3028472 
21	587739505541578866	179.401874039797	32.2777398989899	587739505541578866, Arp313, NGC3994, UGC6936, 11573685+3216400 	179.433772195539	32.2936035353535	587739505541644294, Arp313, NGC3995, UGC6944, 11574411+3217389 
22	587739646743412797	163.06195833333334	30.05786388888889	587739646743412797, Arp107, UGC5984, 10521491+3003289 	163.073125	30.072575	587739646743412796, Arp107, UGC5984, 10521845+3004209 
23	587739647284805725	174.92683333333335	31.909294444444445	587739647284805725, Arp294, NGC3786, UGC6621, 11394247+3154337 	174.93312500000002	31.931269444444446	587739647284805726, Arp294, NGC3788, UGC6623, 11394459+3155526 
24	587739707420967061	241.38791666666668	17.60128611111111	587739707420967061, Arp172, IC1178, UGC10188, 16053310+1736048 	241.39079166666667	17.593577777777778	587739707420967062, Arp172, IC1181, UGC10188, 16053387+1735368 
25	587739721376202860	224.25287500000002	24.617605555555556	587739721376202860, Arp302, UGC9618, 14570066+2437026 	224.25166666666667	24.6067	587739721376202859, Arp302, UGC9618, 14570030+2436246 
26	587739721900163101	191.54225	30.73128888888889	587739721900163118, Arp242, NGC4676, UGC7938, 12461005+3043546 	191.54583333333335	30.722247222222222	587739721900163112, Arp242, NGC4676, UGC7938, 12461005+3043546 
27	587739810496708646	236.742754398445	17.8845815656566	587739828210958448, Arp72, NGC5996, UGC10033, 15465887+1753031 	236.722123027312	17.872322979798	587739810496708646, Arp72, NGC5994, UGC10033, 15465326+1752217 
28	587739845393580192	241.13225000000003	14.819136111111112	587739845393580192, Arp101, UGC10169, 16043172+1449091 	241.11816666666667	14.782102777777778	587742615635820725, UGC10164, 16042820+1446571 
29	587741391565422775	127.99029166666668	19.21122777777778	587741391565422762, Arp58, UGC4457, 08315766+1912411 	128.000875	19.201558333333335	587741391565422763, Arp58, UGC4457, 08315766+1912411 
30	587741532784361481	167.80375	28.711780555555556	587741532784361801, Arp105, NGC3561, UGC6224, 11111301+2842423 	167.80458333333334	28.696225	587741532784361477, Arp105, NGC3561, UGC6224, 11111316+2841473 
31	587741534400217110	181.43945833333333	31.058611111111112	587741534400217409, Arp97, UGC7085A, 12054544+3103313 	181.43979166666668	31.079080555555556	587741534400217128, Arp97, UGC7085A, 12054552+3104444 
32	587741602030026825	179.69004166666667	27.45203888888889	587741602030026825, NGC4017, UGC6967, 11584562+2727084 	179.63479166666667	27.528022222222223	587741602030027618, Arp305, NGC4016, UGC6954, 11582910+2731431 
33	587741722819493915	183.89929166666667	28.17772777777778	587741722819493922, Arp106, NGC4211, UGC7277, 12153585+2810396 	183.90404166666667	28.169525	587741722819493929, Arp106, NGC4211, UGC7277, 12153729+2810106 
34	587741817851674654	139.172634589767	18.9637111111111	587741707794382901, NGC2802, UGC4897, 09164141+1857487 	139.18211184075	18.9548444444444	587741817851674657, NGC2803, UGC4897, 09164387+1857167 
35	587741829658181698	167.46437500000002	24.26161111111111	587741829658181698, Arp301, UGC6207, 11095147+2415419 	167.47754166666667	24.258194444444445	587741829658181697, Arp301, UGC6207, 11095447+2415249 
36	587742010583941189	130.666	14.28561388888889	587742010583941189, Arp89, NGC2648, UGC4541, 08423982+1417078 	130.697875	14.264986111111112	587742010583941190, Arp89, NGC2648, UGC4541, 08424821+1415547 
37	587742014353702970	175.18370833333333	22.429391666666668	587742014353702970, Arp87, NGC3808, UGC6643, 11404420+2225459 	175.185875	22.446741666666668	587742014353702971, Arp87, NGC3808, UGC6643, 11404456+2226479 
38	587742571610243080	166.83683333333335	18.432944444444445	587742571610243080, Arp191, UGC6175, 11072082+1826018 	166.831875	18.429780555555556	587742571610243936, Arp191, UGC6175, 11071956+1825478 
39	587745402001817662	141.931125	12.28725	587745402001817662, Arp237, UGC5044, 09274356+1217154 	141.93525	12.288225	587745402001817663, Arp237, UGC5044, 09274356+1217154 
40	587746029596311590	157.06933333333333	79.82349166666667	587746029596311590, Arp181, NGC3212, UGC5643, 10281670+7949240 	157.07250000000002	79.81300277777778	587746029596312002, Arp181, NGC3212, UGC5643, 10281670+7949240 
41	588011124116422756	198.879642238449	62.1292196969697	588011124116422749, Arp238, UGC8335, 13153076+6207447 	198.883653278602	62.1246479797979	588011124116422749, Arp238, UGC8335, 13153076+6207447 
42	588013383816904792	181.16466666666668	52.95717777777778	588013383816904792, 12043959+5257265 	181.16229166666668	52.95464166666667	588013383816904793, 12043793+5257175 
43	588017604696408086	221.331875	38.73127222222222	588017604696408105, Arp297, NGC5754, UGC9505, 14451966+3843526 	221.31783333333334	38.72864166666667	588017604696408575, Arp297, NGC5752, UGC9505, 14451411+3843436 
44	588017604696408195	221.32854166666667	38.805725	588017604696408195, NGC5753, UGC9507, 14451887+3848206 	221.34270833333335	38.78008888888889	588017604696408555, NGC5755, UGC9507, 14452452+3846477 
45	588017702948962343	222.8720833333333	9.334830555555556	588017702948962343, Arp173, UGC9561, 14512928+0920058 	222.86633333333333	9.321913888888888	588017702948962344, Arp173, UGC9561, 14512794+0919188 
46	588017978901528612	209.6581666666667	37.42467777777778	588017978901528612, Arp84, NGC5395, UGC8900, 13583793+3725284 	209.646375	37.45328888888889	588017978901528620, Arp84, NGC5394, UGC8898, 13583365+3727124 
47	588018055130710322	255.02854166666668	23.13154722222222	588018055130710322, UGC10650, 17000690+2307533 	255.029	23.12751111111111	588018055130710321, UGC10650, 17000690+2307533 
48	758874299603222717	0.3614583333333333	31.43341388888889	758874299603222717, Arp112, 00012677+3126016 	0.37145833333333333	31.441961111111112	758874299603222658, Arp112, 00013005+3126306 
49	587736523764334706	218.78633333333335	5.358805555555556	587736523764334706, Arp274, NGC5679, UGC9383, 14350876+0521324 	218.77658333333335	5.356466666666667	587736523764334708, Arp274, NGC5679, UGC9383, 14350635+0521244 
50	587747120521216156	1.686625	-6.636922222222222	587747120521216156, Arp146, 00064479-0638136 	1.6832083333333334	-6.635019444444445	587747120521216157, Arp146, 00064479-0638136 
51	588007005230530750	116.72070833333333	39.032111111111114	588007005230530750, Arp143, NGC2444, UGC4016, 07465304+3901549 	116.726	39.015025	588007005230530765, Arp143, NGC2445, UGC4016, 07465510+3900549 
52	758877153600208945	20.867874999999998	30.784466666666667	758877153600208945, Arp70, UGC934, 01232834+3047042 	20.863541666666666	30.771966666666668	758877153600208980, Arp70, UGC934, 01232687+3046192 
53	587739720308818095	238.403625	18.609608333333334	587739720308818090, Arp218, UGC10084, 15533695+1836349 	238.39291666666668	18.603722222222224	587739720308818074, Arp218, 15533414+1836149 
54	1237678620102623480	1.0642083333333334	3.3838333333333335	1237678620102623480, 00040703+0320165 	1.0672916666666667	3.3769	1237678620102688907, 00040703+0320165 

