ID	SDSSID	PRI_DR7_ID	PRI_DR8_ID	SEC_DR7_ID	SEC_DR8_ID	PRI_DR7_U	PRI_DR7_G	PRI_DR7_R	PRI_DR7_I	PRI_DR7_Z	PRI_DR7_SPECZ	PRI_DR7_PHOTOZ	PRI_DR7_PHOTOZ2	PRI_DR8_U	PRI_DR8_G	PRI_DR8_R	PRI_DR8_I	PRI_DR8_Z	PRI_DR8_SPECZ	PRI_DR8_PHOTOZ	PRI_DR8_PHOTOZ2	SEC_DR7_U	SEC_DR7_G	SEC_DR7_R	SEC_DR7_I	SEC_DR7_Z	SEC_DR7_SPECZ	SEC_DR7_PHOTOZ	SEC_DR7_PHOTOZ2	SEC_DR8_U	SEC_DR8_G	SEC_DR8_R	SEC_DR8_I	SEC_DR8_Z	SEC_DR8_SPECZ	SEC_DR8_PHOTOZ	SEC_DR8_PHOTOZ2
1	587722984435351614	587722984435351614	1237671990804742200	588848900997382148	1237671990804742199	14.951456	13.770964	13.112431	12.773557	12.490586	0.0	0.107211	0.0	15.384151	14.074981	13.344014	12.910889	12.555459	0.0	0.089793	0.0	15.23105	13.902212	13.212225	12.829014	12.598762	0.0	0.094422	0.0	15.51649	14.064972	13.323229	12.911562	12.626768	0.0	0.082546	0.0
2	587724234257137777	587724234257137777	1237679167161761909	587724234257137746	1237679167161761856	15.598561	13.600625	12.776772	12.345063	12.019533	0.01212	0.063074	0.0	15.819234	13.715004	12.769019	12.333892	12.002791	0.012093	0.094002	0.0	15.522488	13.72735	13.001651	12.628512	12.336368	0.01218	0.04368	0.0	15.589792	13.762589	12.957238	12.61479	12.340399	0.012167	0.079665	0.0
3	587726033843585146	587726033843585146	1237654604245106766	587726033843585145	1237654599950336023	16.05197	14.725846	13.710185	13.212331	12.853619	0.0	0.19376	0.0	16.54253	14.534101	13.546559	13.026959	12.632997	0.024072	0.097783	0.0	16.530149	14.368958	13.511249	13.108886	12.818101	0.022672	0.080113	0.0	16.240349	14.277659	13.426939	13.02111	12.730966	0.022647	0.059119	0.0
4	587727177926508595	587727177926508587	1237652899151413294	587727177926508588	1237652899151413295	14.458771	12.964628	12.214299	11.829279	11.510659	0.0	0.077945	0.0	14.31443	12.833766	12.009209	11.638101	11.35268	0.0	0.120231	0.0	15.510389	13.488915	12.558107	12.108339	11.757765	0.012819	0.078964	0.0	15.535675	13.452292	12.442184	11.991072	11.661618	0.0	0.0	0.0
5	587727178988388373	587727178988388658		587727178988388652	1237672796109733939	22.673481	22.10314	21.453264	20.982918	20.560804	0.0	0.375665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.007164	22.21987	21.549871	21.876762	20.764734	0.0	0.094114	0.0	15.720985	14.970754	14.373334	14.068029	13.73742	0.027102	0.231712	0.0
6	587727222471131318	587727222471131320	1237656242229674150	587727222471131318	1237656242229674146	16.263491	14.706013	14.024334	13.708105	13.396727	0.028533	0.05005	0.0	16.331467	14.906168	14.369287	14.345229	13.763851	0.028504	0.070437	0.0	16.94438	15.051629	14.196651	13.788671	13.473033	0.029234	0.06248	0.0	16.852921	14.965742	14.106683	13.704668	13.397918	0.029211	0.066014	0.0
7	587728676861051075	587728676861051075	1237654608534896736	587728676861050955	1237654608534962193	15.143902	13.451888	12.373295	11.930978	11.653554	0.00966179	0.172434	0.0	14.585697	13.034301	12.137885	11.703104	11.464812	0.009365271	0.153273	0.0	22.452032	22.399324	21.576447	21.339872	20.043962	0.0	0.299261	0.0	23.441986	24.961079	24.705469	22.722353	22.580736	0.0	0.484362	0.0
8	587729227151704160	587729227151704160	1237654948376608866	587729227151704161	1237654948376608867	16.915031	15.347835	14.690271	14.367143	14.050691	0.04674	0.053501	0.0	17.285357	15.635966	14.899315	14.553238	14.398493	0.046749	0.07611	0.0	21.156986	18.56781	17.595825	17.14926	16.804413	0.0	0.122564	0.0	18.596142	16.675787	16.955286	16.190418	15.041458	0.0	0.25683	0.0
9	587731913110650988	587731913110650983	1237657634335555681	587731913110716661		24.557354	25.0693	18.981216	17.903481	17.094238	0.0	0.310891	0.0	15.039832	13.618964	12.97347	12.612741	12.349151	0.009306077	0.065191	0.0	22.343973	21.238052	20.175268	19.781948	19.289623	0.0	0.265432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	587732136993882121	587732136993882121		587732136993947666	12376578582188523710	16.429678	13.408352	11.863127	11.099557	10.573604	0.0	0.418853	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.167014	12.735492	12.005718	11.619519	11.368648	0.0	0.092049	0.0	13.740781	12.369475	11.597404	11.245737	10.990094	0.0	0.116708	0.0
