Display Order	Short Name	SDSS ID	RA	DEC 	Cross identifications
1	Arp 240	587722984435351614	13:39:52.8	+00:50:23.4	NGC 5257, UGC 8641, 13395227+0050224 
2	Arp 290	587724234257137777	02:03:49.7	+14:44:19.1	IC196, UGC 1556, 02034980+1444204 
3	Arp 142	587726033843585146	09:37:44.0	+02:45:36.5	NGC 2936, UGC 5130, 09374413+0245394 
4	Arp 318	587727177926508595	02:09:24.5	-10:08:09.6	NGC 835, 02092458-1008091 
5	Arp 256	587727178988388373	00:18:50.1	-10:21:41.9	00185015-1021414 
6	UGC 11751	587727222471131318	21:28:59.4	+11:22:55.1	21285942+1122574 
7	Arp 104	587728676861051075	13:32:10.2	+62:46:02.4	NGC 5218, UGC 8529, 13321042+6246039 
8	Double Ring, Heart	587729227151704160	15:53:08.6	+54:08:50.4	15530935+5408557 
9	Arp 285	587731913110650988	09:24:02.9	+49:12:14.1	NGC 2854, UGC 4995, 09240315+4912156 
10	Arp 214	587732136993882121	11:32:35.4	+53:04:00.0	NGC 3718, UGC 6524, 11323494+5304041 
11	NGC 4320	587732772130652231	12:22:57.7	+10:32:52.8	UGC 7452, 12225772+1032540 
12	UGC 7905	587733080814583863	12:43:49.4	+54:54:16.4	12434940+5454181 
13	Arp 255	587734862680752822	09:53:08.9	+07:51:58.2	UGC 5304, 09530884+0751577 
14	Arp 82	587735043609329845	08:11:13.5	+25:12:23.8	NGC 2535, UGC 4264, 08111348+2512249 
15	Arp 239	587735665840881790	13:41:39.3	+55:40:14.6	NGC 5278, UGC 8677, 13413961+5540146 
16	Arp 199	587736941981466667	14:17:02.5	+36:34:16.6	NGC 5544, UGC 9142, 14170522+3634308 
17	Arp 57	587738569246376675	13:16:47.5	+14:25:39.7	13164737+1425399 
18	Pair 18	587738569249390718	13:44:50.3	+13:55:16.9	13445034+1355178 
19	Arp 247	587739153356095531	08:23:34.0	+21:20:50.3	IC2339, UGC 4383, 08233424+2120514 
20	Arp 241	587739407868690486	14:37:50.4	+30:28:59.5	UGC 9425, 14375117+3028472 
21	Arp 313	587739505541578866	11:57:36.5	+32:16:39.8	NGC 3994, UGC 6936, 11573685+3216400 
22	Arp 107	587739646743412797	10:52:14.8	+30:03:28.4	UGC 5984, 10521491+3003289 
23	Arp 294	587739647284805725	11:39:42.4	+31:54:33.4	NGC 3786, UGC 6621, 11394247+3154337 
24	Arp 172	587739707420967061	16:05:33.1	+17:36:04.6	IC1178, UGC 10188, 16053310+1736048 
25	Arp 302	587739721376202860	14:57:00.6	+24:37:03.3	UGC 9618, 14570066+2437026 
26	Arp 242	587739721900163101	12:46:10.2	+30:43:52.7	NGC 4676, UGC 7938, 12461005+3043546 
27	Arp 72	587739810496708646	15:46:58.2	+17:53:04.4	NGC 5996, UGC 10033, 15465887+1753031 
28	Arp 101	587739845393580192	16:04:31.7	+14:49:08.9	UGC 10169, 16043172+1449091 
29	Arp 58	587741391565422775	08:31:57.6	+19:12:40.5	UGC 4457, 08315766+1912411 
30	Arp 105	587741532784361481	11:11:12.9	+28:42:42.4	NGC 3561, UGC 6224, 11111301+2842423 
31	Arp 97	587741534400217110	12:05:45.4	+31:03:31.0	UGC 7085A, 12054544+3103313 
32	Arp 305	587741602030026825	11:58:45.6	+27:27:07.4	NGC 4017, UGC 6967, 11584562+2727084 
33	Arp 106 	587741722819493915	12:15:35.8	+28:10:39.8	NGC 4211, UGC 7277, 12153585+2810396 
34	NGC 2802/3	587741817851674654	09:16:41.4	+18:57:49.4	UGC 4897, 09164141+1857487 
35	Arp 301	587741829658181698	11:09:51.4	+24:15:41.8	UGC 6207, 11095147+2415419 
36	Arp 89	587742010583941189	08:42:39.9	+14:17:08.3	NGC 2648, UGC 4541, 08423982+1417078 
37	Arp 87	587742014353702970	11:40:44.0	+22:25:45.9	NGC 3808, UGC 6643, 11404420+2225459 
38	Arp 191	587742571610243080	11:07:20.8	+18:25:58.6	UGC 6175, 11072082+1826018 
39	Arp 237	587745402001817662	09:27:43.4	+12:17:14.1	UGC 5044, 09274356+1217154 
40	Arp 181	587746029596311590	10:28:16.7	+79:49:24.5	NGC 3212, UGC 5643, 10281670+7949240 
41	Arp 238	588011124116422756	13:15:31.1	+62:07:45.1	UGC 8335, 13153076+6207447 
42	MCG +09-20-082	588013383816904792	12:04:39.5	+52:57:25.9	12043959+5257265 
43	Arp 297	588017604696408086	14:45:19.6	+38:43:52.5	NGC 5754, UGC 9505, 14451966+3843526 
